# x,f(x)
2.1232,-0.9649
7.1722,0.6339
9.7363,0.9996
9.0400,0.0838
5.3032,-0.9938
5.7972,-0.4120
8.7567,-0.4878
7.3981,0.2117
8.9027,-0.2024
8.2482,-1.0000
8.1378,-0.9725
2.2130,-0.9970
1.3874,0.2337
0.8244,0.9879
5.8618,-0.2854
7.5421,-0.0880
7.5219,-0.0458
3.1711,0.3508
5.5982,-0.7457
8.8254,-0.3575
1.9242,-0.7761
8.0257,-0.8916
8.6964,-0.5938
9.4446,0.8023
0.1042,0.2165
2.0620,-0.9235
1.1375,0.6883
8.3149,-0.9908
6.5839,0.9401
0.1992,0.4053
8.0388,-0.9038
1.8507,-0.6702
6.9316,0.9285
0.9494,0.9141
9.9415,0.9206
6.2475,0.4954
6.7949,0.9956
5.9596,-0.0845
8.5285,-0.8346
0.3225,0.6253
6.7643,0.9995
3.9629,0.9022
5.3974,-0.9527
2.9075,-0.1925
5.7617,-0.4786
3.2838,0.5600
9.3409,0.6549
1.2119,0.5674
4.3369,0.3349
8.3197,-0.9894
1.6358,-0.2806
8.1692,-0.9857
1.6843,-0.3766
7.1117,0.7265
0.3728,0.7038
0.8213,0.9889
4.7863,-0.5644
3.1452,0.2995
2.2037,-0.9953
1.5653,-0.1363
7.6514,-0.3117
4.7942,-0.5779
2.2473,-1.0000
8.7190,-0.5551
8.5567,-0.8007
4.3572,0.2946
4.3229,0.3626
9.8368,0.9835
1.0535,0.8047
1.2199,0.5536
1.3427,0.3235
7.9528,-0.8124
0.7867,0.9970
7.0383,0.8231
1.7848,-0.5618
1.0749,0.7772
4.7175,-0.4399
9.1112,0.2308
0.0970,0.2018
7.6479,-0.3048
6.1291,0.2671
6.1387,0.2864
6.9113,0.9435
3.8582,0.9744
3.0014,0.0029
3.2759,0.5462
5.4130,-0.9423
0.7563,0.9999
0.1547,0.3183
5.0090,-0.8752
3.2169,0.4389
8.0195,-0.8857
7.5130,-0.0273
6.2748,0.5443
2.4321,-0.9281
4.0823,0.7674
0.0279,0.0584
7.6277,-0.2643
7.6824,-0.3728
2.0926,-0.9462
6.0069,0.0145
7.3575,0.2940
8.2619,-0.9997
6.9811,0.8852
9.7775,0.9983
0.0864,0.1799
9.8487,0.9787
7.3745,0.2598
0.0093,0.0194
8.9168,-0.1733
2.8872,-0.2340
7.2180,0.5568
5.6286,-0.7017
4.3838,0.2410
3.1205,0.2497
6.0346,0.0723
1.1268,0.7044
4.2364,0.5244
8.8780,-0.2527
6.7830,0.9976
9.0975,0.2027
4.8541,-0.6755
1.8557,-0.6779
1.0644,0.7909
1.3483,0.3125
1.0309,0.8319
2.5076,-0.8580
5.4910,-0.8753
1.7647,-0.5265
4.4801,0.0416
2.2621,-0.9997
2.2703,-0.9991
